"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"TPK1","TPK1",9.88527917028061e-20,1.36348899797929,0.312,0.228,2.48169933569895e-15,"5"
"LIMS11","LIMS1",1.17397820401647e-19,1.09924724286643,0.285,0.191,2.94727228118335e-15,"5"
"MIR646HG1","MIR646HG",2.87825891757524e-18,1.15806258171046,0.291,0.201,7.22586901257263e-14,"5"
"MGAT52","MGAT5",3.52781530515183e-18,1.04372952960432,0.473,0.45,8.85658032358366e-14,"5"
"STK4","STK4",8.17871861196334e-18,1.09998346160856,0.281,0.197,2.0532673075334e-13,"5"
"ZFAND61","ZFAND6",1.83182639590317e-17,1.00194689405263,0.275,0.187,4.59880016691491e-13,"5"
"MTSS1","MTSS1",4.28653888774761e-17,1.06857515816038,0.39,0.325,1.07613558776904e-12,"5"
"UBE2E1","UBE2E1",6.34319149981236e-16,1.00892322624818,0.283,0.203,1.59245822602789e-11,"5"
"PLCL2","PLCL2",7.82582521424518e-16,1.08038191803622,0.357,0.299,1.96467342003625e-11,"5"
"SYNDIG11","SYNDIG1",1.00661387217552e-15,1.45829087932657,0.336,0.275,2.52710412609665e-11,"5"
"H2AFY","H2AFY",2.56353182048047e-15,1.00433584822381,0.271,0.194,6.43574663531621e-11,"5"
"MAN1A11","MAN1A1",1.21379204113014e-14,1.04887552789387,0.285,0.212,3.0472249192572e-10,"5"
"RAB1A","RAB1A",1.35646838279883e-14,1.0383468673673,0.292,0.221,3.40541387501645e-10,"5"
"LRRK2","LRRK2",1.81009318572763e-14,1.16074649119632,0.306,0.24,4.54423894276923e-10,"5"
"C6orf62","C6orf62",3.15724259938262e-14,1.01895505404253,0.352,0.295,7.92625754575007e-10,"5"
"PKN2","PKN2",3.24795373651367e-14,1.00789938772269,0.407,0.377,8.15398785551757e-10,"5"
"TET2","TET2",4.50127894226438e-14,1.01267445937376,0.322,0.259,1.13004607845547e-09,"5"
"JAK21","JAK2",8.20457358035162e-14,1.09261354855481,0.367,0.328,2.05975819734728e-09,"5"
"HSPA1A1","HSPA1A",1.6241769118293e-13,1.11661555358599,0.252,0.175,4.07749613714746e-09,"5"
"CAPZB","CAPZB",2.06089261575862e-13,1.0102218623079,0.357,0.312,5.17387091186201e-09,"5"
"TBC1D1","TBC1D1",2.27358273462206e-13,1.08872626648642,0.321,0.265,5.70782945526867e-09,"5"
"TBC1D4","TBC1D4",8.15307876535049e-13,1.0043752130097,0.301,0.236,2.04683042404124e-08,"5"
"PABPC1","PABPC1",1.20739687947768e-12,1.04992584905383,0.316,0.262,3.03116986592872e-08,"5"
"TANK","TANK",1.67821972764291e-12,1.02712935594453,0.29,0.228,4.21317062624752e-08,"5"
"RBMS1","RBMS1",2.49568899949943e-12,1.02536956171723,0.323,0.27,6.26542723324333e-08,"5"
"EPB41","EPB41",5.3696366974049e-12,1.02856490912925,0.258,0.196,1.3480472928835e-07,"5"
"DNAJC13","DNAJC13",9.3720443403261e-12,1.06692016816969,0.276,0.218,2.35285173163887e-07,"5"
"GOLGA4","GOLGA4",2.15121074787352e-10,1.11040078012273,0.434,0.457,5.40061458253647e-06,"5"
"RPL28","RPL28",3.39888872198897e-10,1.09255031888417,0.357,0.322,8.5329101365533e-06,"5"
"TPT1","TPT1",2.37873930370004e-09,1.11899289946911,0.272,0.221,5.97182502193895e-05,"5"
"RPS15","RPS15",1.15946922663011e-07,1.09321694493798,0.268,0.229,0.0029108474934549,"5"
"ADARB2","ADARB2",0,3.43030328305423,0.98,0.236,0,"6"
"GALNTL61","GALNTL6",0,2.80893981539517,0.92,0.317,0,"6"
"SYNPR1","SYNPR",0,2.64748276937185,0.786,0.168,0,"6"
"ERBB41","ERBB4",0,2.23470065116797,0.982,0.58,0,"6"
"C8orf34","C8orf34",0,2.20046793204975,0.609,0.102,0,"6"
"DLX6-AS1","DLX6-AS1",0,2.06761400949338,0.584,0.055,0,"6"
"RGS12","RGS12",0,2.00007943875418,0.754,0.207,0,"6"
"NR2F2-AS1","NR2F2-AS1",0,1.79621181228121,0.511,0.044,0,"6"
"CALB2","CALB2",0,1.78557558340665,0.464,0.013,0,"6"
"PROX11","PROX1",0,1.75925493576423,0.612,0.1,0,"6"
"BTBD11","BTBD11",0,1.63097256394671,0.515,0.067,0,"6"
"CXCL14","CXCL14",0,1.51232791096749,0.363,0.036,0,"6"
"CHRNA7","CHRNA7",0,1.32848983330304,0.335,0.026,0,"6"
"ARHGAP28","ARHGAP28",0,1.3237496009683,0.392,0.044,0,"6"
"NR2F2","NR2F2",0,1.03652839938221,0.344,0.029,0,"6"
"NRXN31","NRXN3",9.97075606454165e-288,1.62569484076295,0.978,0.703,2.50315831000318e-283,"6"
"ZNF385D","ZNF385D",1.75398326384831e-282,1.75722669093915,0.758,0.206,4.40337498389119e-278,"6"
"SLC35F4","SLC35F4",2.68716551454906e-275,1.37000361015776,0.396,0.054,6.74612902427541e-271,"6"
"COL21A11","COL21A1",1.94672378767646e-272,1.30259691233072,0.462,0.073,4.88725006896176e-268,"6"
"ADAMTS6","ADAMTS6",2.34181820732875e-270,1.28610812299972,0.386,0.051,5.87913460949882e-266,"6"
"CNTNAP21","CNTNAP2",2.0220883315905e-260,1.80443981795483,0.978,0.711,5.07645275645794e-256,"6"
"CNR1","CNR1",4.05407600228498e-260,1.75726205839388,0.473,0.091,1.01777578037365e-255,"6"
"GRIK2","GRIK2",1.79058605127791e-252,1.92377050581561,0.93,0.522,4.49526628173319e-248,"6"
"LYPD6B","LYPD6B",1.34857354965937e-251,1.12912488650676,0.31,0.034,3.38559389641986e-247,"6"
"PLD52","PLD5",4.63802869069944e-247,1.63321817788765,0.73,0.229,1.1643771028001e-242,"6"
"IGF1","IGF1",3.15632361897553e-243,1.00720905547022,0.322,0.038,7.92395044543806e-239,"6"
"GLRA2","GLRA2",3.16135075833216e-237,1.09926161007282,0.35,0.048,7.9365710787929e-233,"6"
"ROBO21","ROBO2",1.02988216638718e-232,1.59043210783139,0.933,0.481,2.58551917871502e-228,"6"
"DAB11","DAB1",4.02441274642979e-231,1.63317246770983,0.897,0.485,1.0103288199912e-226,"6"
"GRIP1","GRIP1",3.18998313475926e-228,1.66223673566349,0.864,0.379,8.00845265981312e-224,"6"
"ANKRD30BL2","ANKRD30BL",1.04135708764452e-227,1.73605763324987,0.806,0.329,2.61432696853156e-223,"6"
