"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ANKDD1A",1.09086324484895,8.62094210970763,9.26744301647145,1.07463720290766e-16,1.55141790859769e-14,27.4019844194428
"DDIT4",1.61709352394166,9.19301176231399,9.25872252893872,1.13378460652364e-16,1.61527010883351e-14,27.349553314793
"NACC2",1.38296084763788,9.44613159426858,9.24618455973968,1.22454341681795e-16,1.73316913014332e-14,27.2741960149622
"PMP2",1.56651259086555,10.4082891806003,9.21941097015466,1.4432627880361e-16,1.99069144426253e-14,27.1133815205424
"LOC100272216",1.64015951959737,8.99239315975121,9.17669774002235,1.87534463703192e-16,2.49144712361511e-14,26.8571214494176
"HIF3A",1.08935498770197,5.71589985079467,9.16855207482598,1.97130279588503e-16,2.60296110029819e-14,26.8082927809238
"MXI1",1.2272015627808,10.5868724712026,9.16073794513571,2.06794079685148e-16,2.71401563368598e-14,26.7614641141866
"TGFBR3",1.26216899199467,8.62602410985577,9.15616691425519,2.12664060885699e-16,2.77424110751796e-14,26.7340765029682
"ESF1",1.07126974957567,8.86918472807474,9.1533270276814,2.16394120942742e-16,2.80599681976951e-14,26.7170632909194
"SYMPK",1.09604623854209,7.25814797944838,9.13667722390509,2.39609304976564e-16,3.05219970545147e-14,26.6173506654765
"STK35",1.11225972305782,9.75890739047797,9.13506307152462,2.4198759337888e-16,3.06446861673664e-14,26.6076868211049
"ZNF423",1.42537595662613,7.99047192686236,9.12088412894041,2.63913820024336e-16,3.30349929053583e-14,26.5228212736084
"C9orf64",1.30712163114522,9.90386754577806,9.11335269300504,2.76352628288097e-16,3.43931963539008e-14,26.4777600644781
"PCDHGA4",1.19224762166704,7.66508869658275,9.09109767029165,3.16619416606568e-16,3.85190644191867e-14,26.3446751799104
"MYO10",1.28268845738716,8.07803460082448,9.05642484212027,3.91277751333206e-16,4.58006470547058e-14,26.1375384110564
"ZNF160",1.38971920036795,9.27499252804657,9.03947183327416,4.33913048019738e-16,5.05182099724056e-14,26.0363529536637
"ZNF721",1.16910652120841,10.9382535097708,9.03730714049985,4.39679537032156e-16,5.0915830879312e-14,26.0234372049372
"TJAP1",1.07145063045673,8.11068458092833,9.03306993040258,4.51188439274048e-16,5.17293662509801e-14,25.9981585710339
"DDX59",1.2051819863864,8.72030002108976,9.01695493597965,4.97761696358138e-16,5.61205285138324e-14,25.9020537428845
"PALD1",1.47756290581038,7.02042681114118,9.01616171206446,5.00173724459462e-16,5.61205285138324e-14,25.8973246404679
"ZNRF3",1.28995966191549,9.21253815870225,9.01411687324061,5.06445380127321e-16,5.6531312920913e-14,25.8851341896495
"CEBPB",1.27771333510429,9.46055755956773,9.0093490689936,5.2137390151694e-16,5.78992401915351e-14,25.8567140852821
"FBXW12",1.32492628373684,9.81455161024108,8.99334273014701,5.74764977531578e-16,6.35027325941139e-14,25.7613388092847
"ITPRIPL2",1.01300880201311,6.90975858767156,8.96907380894551,6.66258396395556e-16,7.25016360499787e-14,25.6168363022682
"FAT1",1.4341126463579,9.40045857565548,8.92165477045781,8.88854482989099e-16,9.20963819575547e-14,25.3348661802611
"KANK1",1.01573237900482,7.84255718919181,8.91805159993147,9.08519948293361e-16,9.31027113107507e-14,25.3134608535901
"TJP1",1.09869107454918,10.4025490537312,8.89165959162579,1.06637211437765e-15,1.07907888489944e-13,25.1567626747329
"HDAC7",1.2803469187358,5.64891519435321,8.87320393855846,1.19267354704935e-15,1.19020026089187e-13,25.0472785064118
"PDCD6",1.02483126346138,9.40290104911003,8.86613994718787,1.24485755235193e-15,1.23093106375256e-13,25.0053933399496
"SKI",1.05095278249177,8.00348142630066,8.86216945170132,1.27517869994528e-15,1.25518157942341e-13,24.9818557043405
"SAMD4A",1.15837624771602,7.88847351809275,8.84763713126866,1.39255019977638e-15,1.35836371964674e-13,24.8957368258679
"MT2A",1.43270207134562,11.5613109206331,8.84502278144035,1.41477694951315e-15,1.37385627092858e-13,24.8802492556494
"TBL1X",1.14279170051306,7.19271138632322,8.81563396913753,1.69024574039196e-15,1.61956953576052e-13,24.7062563529552
"TNS1",1.32988826484191,8.18935160215156,8.77347852742756,2.1808473684862e-15,2.05331520715516e-13,24.4570304351769
"RELL1",1.35248229483943,8.33243674548311,8.76945457819963,2.23450079081837e-15,2.09472357684727e-13,24.4332623471246
"CSRNP1",1.24738139692818,7.54960678384204,8.73900176135861,2.68539704166241e-15,2.4816599282649e-13,24.2535122166174
"COL5A3",1.21588303977007,7.51432906695338,8.73852713125639,2.69309666655392e-15,2.4816599282649e-13,24.2507124193883
"NEK7",1.27939630072284,8.85827156444427,8.72712816986573,2.8847491918954e-15,2.64700185383453e-13,24.1834872076244
"PSD2",1.17996459527787,9.99451529993386,8.72329026375048,2.95227839852047e-15,2.69753538902788e-13,24.1608602077279
"YAP1",1.44158890907225,7.30805660109414,8.69670042002731,3.46528714092143e-15,3.07544233756777e-13,24.0041927463479
"GRAMD1C",1.48942010196293,8.61285186873609,8.69056805943119,3.59564193177031e-15,3.17810718499943e-13,23.9680850893638
"SOX9",1.3960555621851,9.28519869580622,8.68966930574638,3.61515156827286e-15,3.18236208174589e-13,23.9627939473683
"CSPG5",1.05319026101173,10.690164397646,8.67599522585658,3.92528656739954e-15,3.41373817739105e-13,23.8823161382577
"EMX2OS",1.02123173299095,8.15906417949392,8.65757223927771,4.38530107868289e-15,3.73872814405031e-13,23.7739611466005
