"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SCN2B",-1.50000740579009,7.55114733314724,-8.21775874872233,6.02429266557624e-14,3.74873728945556e-12,21.2131915213296
"ATP6V1B2",-1.35895498772002,9.3524886873818,-8.20301690187622,6.57142347306444e-14,4.00856831856931e-12,21.1282705578467
"GPI",-1.33513442593991,9.22951130431655,-8.19529737072416,6.8773066935543e-14,4.17165480249071e-12,21.0838267273042
"TUSC3",-1.05509195433416,6.54745013141179,-8.1779877144715,7.61548941469966e-14,4.55561942749506e-12,20.9842317351313
"FAR2",-1.2087425512591,6.76451297674552,-8.15551474791993,8.6922174487481e-14,5.17115299045714e-12,20.8550576596592
"SF3B5",-1.02403445176231,7.99094422010955,-8.14302074780601,9.35478461547567e-14,5.51983272065738e-12,20.7833059258796
"EIF2B3",-1.28108099950678,6.98513959223824,-8.05301473307938,1.58593887809563e-13,8.73880570105873e-12,20.2677693575437
"RTN3",-1.14764312117885,10.805982694605,-7.99471264290785,2.22965460089605e-13,1.1606531341924e-11,19.9351217074722
"GOT1",-1.69502102990622,7.95878907181464,-7.9858434590498,2.3480436352358e-13,1.20776448743542e-11,19.8846085209895
"FGF12",-1.11658672259282,7.328985416149,-7.9807537893605,2.41877438085341e-13,1.23243668746778e-11,19.8556319241963
"SLC1A6",-1.34307585181977,5.88933008615384,-7.93953624964258,3.07504055505252e-13,1.51340916408323e-11,19.6212659995548
"JAZF1",-1.05693060998381,7.77565007130979,-7.92530278409317,3.34041954824452e-13,1.6292068765143e-11,19.5404560214126
"CRYM",-1.07849862847614,10.0248875623649,-7.91964636713442,3.45207533330592e-13,1.67614142170233e-11,19.5083594994084
"SLIRP",-1.31280845694721,9.00207034034825,-7.91925820685983,3.45987169476306e-13,1.67614142170233e-11,19.5061573072668
"PSMA5",-1.06145984245621,9.11478109735719,-7.90823419749803,3.68872770591178e-13,1.7711618286368e-11,19.4436333204956
"CDC37",-1.88376399889171,5.63397178880966,-7.88403551960583,4.24501958326954e-13,1.99838911034134e-11,19.3065217927053
"DYNC1I1",-1.34213375730004,9.59338788671397,-7.88253187263024,4.28220739308649e-13,2.00716885491965e-11,19.2980081221649
"MAP2K4",-1.13657313598893,8.67012835745115,-7.84881950791552,5.20614487491727e-13,2.3885395607274e-11,19.1073169502817
"DHCR24",-1.35479697390935,8.7925420035984,-7.83012535801457,5.8009632134051e-13,2.63907265517411e-11,19.0017316371623
"GRIN1",-1.2028008966566,6.37865959364752,-7.82913030720633,5.83444610478513e-13,2.64874067922688e-11,18.9961146982723
"SDR16C5",-1.59034543342471,6.23206005064296,-7.80172350358863,6.83582684455878e-13,3.06479979956357e-11,18.8415323552061
"SULT4A1",-1.27606144291619,9.67983080095831,-7.76854757401104,8.27798987044503e-13,3.62141152817146e-11,18.6547369835607
"CHRM1",-1.60103084909974,7.97847707943815,-7.75975721012878,8.70816552783821e-13,3.79427212284379e-11,18.6053036370665
"ZNF204P",-1.20629964266987,8.40764800530671,-7.75625111686065,8.88585521059877e-13,3.86391956999029e-11,18.5855939129688
"TBC1D7",-1.15875776788116,6.39080744310006,-7.73777605207,9.88319059080924e-13,4.23802954938563e-11,18.4818021117063
"CALY",-1.78719594212628,7.07770468351925,-7.71341364730556,1.13695595608787e-12,4.79539502692746e-11,18.345108404071
"UQCRFS1",-1.03729129910813,9.24050815049646,-7.68965591525229,1.30316474867874e-12,5.40613651966248e-11,18.2119979797869
"NUDT2",-1.67316978934394,5.84680025037246,-7.63857785593301,1.74632216534235e-12,7.13520877179032e-11,17.9264599219224
"ATRNL1",-1.12330552924473,7.60008339022666,-7.61631094950596,1.98347073837314e-12,7.95463734347404e-11,17.8022603232441
"LOC286367",-1.63090976396898,6.11753868820814,-7.57284938547323,2.54189840083411e-12,9.92970779113641e-11,17.560332825505
"MDH1",-1.48873260362286,11.8379059879645,-7.55699126316318,2.78226444544042e-12,1.06637055869048e-10,17.4722220079127
"DHRS7B",-2.05067541418253,5.66790325859298,-7.54854317313575,2.91936034697776e-12,1.11300613228527e-10,17.4253185747036
"RTN4IP1",-1.65419323625105,5.75443451589737,-7.53834397298851,3.09380444923855e-12,1.17126460399057e-10,17.3687263221464
"EEF1A2",-1.36580609583858,8.69105245151117,-7.53157938880783,3.21515261076997e-12,1.20456971948484e-10,17.3312118287905
"ATP6V1E1",-1.24767446869244,10.6908171499483,-7.52509048112752,3.33597671895946e-12,1.23911793909206e-10,17.295241274479
"GABRG2",-1.28134517191246,9.6368257678039,-7.50889471381969,3.65749531335071e-12,1.34928553680766e-10,17.2055265486538
"FHL2",-1.15477433358421,7.55954866303146,-7.48623588491489,4.15934964477283e-12,1.51634202958848e-10,17.0801662141056
"COPS3",-1.18138149534046,7.80464025951,-7.45651761717725,4.92206855538929e-12,1.77645657611592e-10,16.9160267299992
"CNOT10",-1.49862874514042,5.49060168206119,-7.40976243949699,6.4108855504897e-12,2.27960142193521e-10,16.6584322291178
"SV2B",-1.19971075601918,10.1802788573222,-7.39553746251177,6.94656025717568e-12,2.44597987592096e-10,16.5802180006497
"NRXN3",-1.31657113206324,9.19162362112908,-7.39438523894469,6.99183931546796e-12,2.45394295585832e-10,16.5738858778837
"SDHB",-1.10645532244342,6.38387005896897,-7.39149183802333,7.10683223514524e-12,2.4742901272936e-10,16.5579871358404
"CHGB",-1.75259547195562,9.48550269170799,-7.37422431212641,7.83302469867029e-12,2.70532934369546e-10,16.4631687813801
"TBC1D9",-1.03055258919955,8.45038888824664,-7.36251245146705,8.36685001500881e-12,2.85779396017375e-10,16.398919673777
"GOT2",-1.00063580590464,9.98728287417133,-7.35577213391487,8.69021776562314e-12,2.95426476788962e-10,16.3619664500045
"SVOP",-1.00101972257582,8.2747707833807,-7.34123851551434,9.43010804161888e-12,3.18639391050934e-10,16.2823442505232
"FIBP",-1.05535454838732,8.37760126945239,-7.33373918662867,9.83590870986398e-12,3.30740066944262e-10,16.2412899128973
"RWDD2B",-1.28690848407212,6.98158846516359,-7.31919903711194,1.06725026788326e-11,3.55012358694499e-10,16.1617508771793
"CA10",-1.16652107076865,8.24229863537805,-7.31862943844105,1.0706669363544e-11,3.55238559215966e-10,16.158636602883
"RAB3C",-1.37724298417947,7.1317753105353,-7.30484825691825,1.15670793383113e-11,3.77805585325989e-10,16.0833250937821
"NRN1",-1.06347619005232,9.80362259720613,-7.30155027876172,1.17829152269812e-11,3.83121665525942e-10,16.0653128161563
"STAT4",-1.50436150530094,7.99203973124348,-7.27247857793267,1.38660965958824e-11,4.43530755958396e-10,15.9067112858864
"SUSD4",-1.07680726280654,7.42581813487817,-7.24768458119046,1.5927443835324e-11,4.99867820657885e-10,15.7716991643063
"NECAP1",-1.24472372620656,9.02892465479831,-7.23705694648943,1.69011561128849e-11,5.24347472241437e-10,15.7138994416425
"JAZF1-AS1",-1.94839719078201,5.34592812485077,-7.21499415678882,1.91142437310055e-11,5.83806696748835e-10,15.5940459461949
"RP11-416I2.1",-1.31336567586548,6.52964405255181,-7.20818161445521,1.98537539170634e-11,6.0214711635015e-10,15.5570753206765
"NIT2",-1.13666582605028,7.45646890989837,-7.20048941734021,2.07227679277019e-11,6.25873834692309e-10,15.5153523994382
"C1QTNF4",-2.17714843621513,5.89693394827566,-7.15935445855181,2.60481791644821e-11,7.69540681864747e-10,15.2926221945243
"GABRA4",-1.18208465424224,7.69449017747042,-7.15203073531953,2.71289571989592e-11,7.96040065235044e-10,15.2530359479242
"CAMK1G",-1.35554108225065,6.45740696556898,-7.11904005625426,3.25728711721105e-11,9.2933534286173e-10,15.0749747028958
"CRMP1",-1.0378455677134,9.17939454588571,-7.09069780464406,3.8101673716372e-11,1.06189413684432e-09,14.9223447163133
"CDK7",-1.76157852477682,6.73939074805433,-7.08125439050197,4.0142153945771e-11,1.10973237175353e-09,14.8715602987266
"CHCHD6",-1.31324566498359,7.42502986240965,-7.06273517453454,4.44619517230226e-11,1.21876400577475e-09,14.7720714904654
"C11orf73",-1.19264659174322,7.00577937892137,-7.06213569273276,4.46091994738311e-11,1.22125438003263e-09,14.7688532458668
"LARGE",-1.06506001735428,7.31091883713118,-7.06033136180294,4.50552996955472e-11,1.22980616443111e-09,14.7591677836107
"CUL1",-1.02637856460453,6.93073009326893,-7.03020529118094,5.31885263124185e-11,1.42725841052717e-09,14.5976470384608
"COPS5",-1.02492855258223,8.53446017777238,-7.00552438163274,6.09184097545865e-11,1.60680653256464e-09,14.4655930873964
"SYN2",-1.12357935510847,9.42692808479161,-6.99591303356138,6.42198752509701e-11,1.68977083664612e-09,14.4142348531371
"CARTPT",-1.20155319038525,7.73567438122137,-6.96528062667277,7.59652756939276e-11,1.97377550126225e-09,14.2508018412888
"GABRA1",-1.4242869354079,9.36999441192315,-6.96232961733879,7.72029498205566e-11,1.99979650522028e-09,14.2350776014051
"MIR7-3HG",-1.32322492377435,6.41678524927918,-6.96033013705673,7.80528325852735e-11,2.01698578715286e-09,14.2244255464015
"RRAGB",-1.72635230640739,4.9930017568993,-6.9360411516187,8.9144126402922e-11,2.2577965581933e-09,14.0951594699881
"MPV17",-1.48463552684139,6.41044272281585,-6.93416542494594,9.00626445664675e-11,2.27839552346595e-09,14.0851869657836
"SERTM1",-1.43202852146803,7.07764128066697,-6.925707744645,9.43215775850603e-11,2.380575480891e-09,14.0402388676995
"MAL2",-1.57528259249126,8.74308660291037,-6.89683496251308,1.10412794677942e-10,2.75459570132584e-09,13.8870189776168
"KIFAP3",-1.49746181367508,8.03284701325673,-6.89130805637384,1.13788312857389e-10,2.83196722904125e-09,13.8577288118172
"TM7SF2",-1.272830179154,6.20244989759561,-6.89111761980634,1.13906416831906e-10,2.83196722904125e-09,13.8567198094227
"SURF2",-1.3352484311382,5.02377384905111,-6.87760023969014,1.22605829506249e-10,3.02739935913093e-09,13.785138571252
"DYRK4",-1.07842142490009,7.16315952192872,-6.85503524354323,1.38610459326918e-10,3.35375362762504e-09,13.6658166094127
"NVL",-1.88804149496313,5.21700149271328,-6.84256951214676,1.48317989481824e-10,3.5708496483511e-09,13.5999908171948
"MTX2",-1.26123033477049,8.13485400180999,-6.80515876215968,1.8165733758378e-10,4.28517390563916e-09,13.4028375362726
"IMPDH2",-1.07621974041189,8.46751840493843,-6.80335876245939,1.83435567245227e-10,4.31844541327058e-09,13.3933666358935
"HPRT1",-1.23418297806827,9.22008085289989,-6.80332747682922,1.8346662573119e-10,4.31844541327058e-09,13.3932020352828
"STMN2",-1.25351751486618,11.4310723082145,-6.77033966697226,2.19273399787217e-10,5.08534626629395e-09,13.2198793131844
"WDR70",-1.05256265290643,6.61336989932777,-6.77028708314839,2.19335645934821e-10,5.08534626629395e-09,13.2196034035433
"APOO",-1.25860684241453,8.26391794251127,-6.75338938078296,2.40267515485711e-10,5.5350989870671e-09,13.1310022247363
"ARPC1A",-1.90571938683238,6.82661278301344,-6.75081477477267,2.43625067163038e-10,5.60648334688159e-09,13.1175134077258
"FAM71E1",-1.60955639660741,4.82290654287985,-6.73821515529917,2.60734863691496e-10,5.94338260340984e-09,13.0515432058056
"CLPP",-1.38908689278574,6.67746950463661,-6.72123654775116,2.85676916274713e-10,6.45755075357924e-09,12.9627542436356
"PPIH",-1.13181276090859,7.14369620063163,-6.70065921154238,3.19072928229927e-10,7.11588492360357e-09,12.8553145085493
"SMYD3",-1.23306252756322,7.43593022845723,-6.68911938010364,3.39455382772963e-10,7.52395733259828e-09,12.7951431904541
"AMPH",-1.38192213636761,9.44156346333017,-6.67820722850384,3.59906802884692e-10,7.86456288240969e-09,12.738298609232
"BEX4",-1.04405744746101,9.78981989554777,-6.67575105744273,3.64674884686885e-10,7.96072039102268e-09,12.7255109321837
"LDHA",-1.17247682821203,11.0831374253508,-6.66601424343951,3.84196637510377e-10,8.31977818528721e-09,12.674843914588
"NIF3L1",-1.00657655279165,7.60470252457982,-6.64378258001899,4.32711128990634e-10,9.25010809308211e-09,12.5593153493007
"DNTTIP1",-1.26282256983039,5.48654567254975,-6.62385748005318,4.81289059017582e-10,1.01483101976882e-08,12.4559597609436
"KDM1A",-1.14889058493538,7.14448266186155,-6.59403543794291,5.64191408396393e-10,1.17476586046384e-08,12.3015984604204
"CAPNS1",-1.26701847525426,7.96320721596039,-6.55935109104088,6.78404792158434e-10,1.39117952407111e-08,12.1225732456558
"BEX5",-1.06859955708241,11.6177362875277,-6.54534883253772,7.30711144749882e-10,1.48277056200475e-08,12.0504542718067
"BLVRB",-1.29716900831757,6.89926166475138,-6.53691991891666,7.64091301323889e-10,1.54063287990399e-08,12.0070839860673
"PPEF1",-1.64255745658915,5.60747090710486,-6.53316375646489,7.79445677037875e-10,1.56576030948564e-08,11.9877673999968
"MAD2L1BP",-1.00970834721704,6.8319319770919,-6.52735201655615,8.03803195368452e-10,1.60723529046203e-08,11.9578924248624
"CCK",-1.47370049008295,9.66628300286014,-6.52342518075949,8.20683439332474e-10,1.63645486912935e-08,11.937715456079
