"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KCNIP4",8.32109180799383e-67,0.564830578692955,0.959,0.846,2.08901009839685e-62
"KIF3A",2.09409805630887e-66,-0.491063290523338,0.404,0.682,5.25723317036342e-62
"PHACTR1",2.35363603381687e-66,0.540743202510177,0.881,0.84,5.90880326289725e-62
"CLASP2",3.10531107349115e-66,-0.405163907939328,0.706,0.86,7.79588344999953e-62
"SUMO3",3.14625162830523e-66,-0.42957122546829,0.187,0.435,7.89866471286029e-62
"RPL28",3.32473281617729e-66,-0.42149836336518,0.227,0.485,8.34674173501308e-62
"NSG2",3.49540500676229e-66,-0.382188897153643,0.21,0.473,8.77521426947673e-62
"DDX24",3.70605936934088e-66,-0.421018310860542,0.206,0.46,9.30406204673028e-62
"ATP5MC2",4.51914203315131e-66,-0.349709071821124,0.095,0.301,1.13453060742264e-61
"PAK3",1.68917258136799e-65,-0.438398509253626,0.671,0.841,4.24066776552434e-61
"NDUFS2",2.10434482545726e-65,-0.322665941821648,0.091,0.292,5.28295768431046e-61
"ZMAT3",3.06808623665493e-65,-0.413484948566261,0.186,0.427,7.70243049712219e-61
"CTNND2",3.71687578531714e-65,0.460341077351939,0.893,0.866,9.33121665903868e-61
"CDIP1",6.75821865714074e-65,-0.501151039311507,0.287,0.556,1.69665079387518e-60
"VPS35",7.57594700024472e-65,-0.449247817023045,0.163,0.396,1.90194149441144e-60
"NAPB",9.92042569449919e-65,-0.580219921658322,0.351,0.618,2.49052287060402e-60
"TMEM160",1.38422278377235e-64,-0.38819932709343,0.111,0.323,3.47509129866048e-60
"BRSK1",1.50278756523509e-64,-0.416116865347536,0.155,0.385,3.7727481825227e-60
"RPL37A",1.61553732432552e-64,-0.330073905877389,0.16,0.392,4.05580645271921e-60
"MAGI2",2.451335316419e-64,0.401354020951979,0.952,0.905,6.1540773118699e-60
"CHGA",2.70811014243583e-64,-0.553472280361702,0.185,0.417,6.79871051258514e-60
"FLOT1",5.27056512199145e-64,-0.402169345110513,0.156,0.385,1.32317537387595e-59
"HK1",1.01404444740563e-63,-0.452532812472818,0.239,0.495,2.54575858521184e-59
"PPM1K",1.19948735202065e-63,-0.39943130200222,0.325,0.6,3.01131299724784e-59
"MRPS21",2.14279865010027e-63,-0.37958297513836,0.099,0.3,5.37949601107674e-59
"ATP5F1A",2.30477817741521e-63,-0.423417241458343,0.113,0.319,5.78614561440088e-59
"SGTB",3.16714368669153e-63,-0.434786385701906,0.124,0.334,7.95111422543908e-59
"UCHL1",3.50774825998809e-63,-0.566103383888363,0.527,0.764,8.80620200670009e-59
"HNRNPH2",4.4058360577145e-63,-0.359737533222512,0.107,0.31,1.10608514228922e-58
"TARBP1",5.99581475645083e-63,-0.43765020231613,0.391,0.651,1.50524929460698e-58
"SLC38A11",6.45353715202745e-63,-0.476800232098648,0.094,0.284,1.62016050201649e-58
"USP22",1.96557728979893e-62,-0.520978941849675,0.426,0.696,4.9345817860402e-58
"PPME1",2.13302529330784e-62,-0.387903943258715,0.222,0.473,5.35495999884934e-58
"ABAT",5.43969207108662e-62,-0.39421842287372,0.139,0.356,1.3656346944463e-57
"ATP1B2",2.03686393171151e-61,-0.517473833817171,0.079,0.26,5.11354690056174e-57
"SCN1B",2.87530451308086e-61,-0.556038581144198,0.189,0.423,7.21845198008949e-57
"CAPZA2",3.60709784036054e-61,-0.377697026878798,0.18,0.415,9.05561912822514e-57
"TSPYL2",5.47133157042982e-61,-0.426523145714462,0.456,0.722,1.37357779075641e-56
"AC024901.1",5.52776639733694e-61,-0.489697434158736,0.27,0.511,1.38774575405144e-56
"HYOU1",6.39074734080734e-61,-0.355511727329938,0.078,0.261,1.60439711990968e-56
"ANK1",6.58277119166113e-61,-0.561893221225458,0.083,0.266,1.65260470766653e-56
"AMPD2",8.21688436565776e-61,-0.404176836029981,0.13,0.341,2.06284881999838e-56
"SCN1A",8.96428254704534e-61,-0.499129604677149,0.586,0.775,2.25048313343573e-56
"CANX",1.17221200143261e-60,-0.515723058202969,0.237,0.481,2.94283822959656e-56
"ITM2B",1.27836815433747e-60,-0.43618150540724,0.35,0.618,3.20934325146421e-56
"TMEM106B",1.36566846176486e-60,-0.396748856806776,0.307,0.574,3.42851067326069e-56
"OPCML",1.54865049019581e-60,0.449553617298636,0.94,0.906,3.88788705563657e-56
"ICA1",2.5169619840796e-60,-0.415506338439643,0.341,0.6,6.31883306103184e-56
"LRRC8B",2.59097317984896e-60,-0.449437953472066,0.373,0.634,6.50463816801081e-56
"RAB3C",2.80110019385634e-60,-0.71107745193422,0.409,0.642,7.03216203667634e-56
"MAPRE3",3.12241478331594e-60,-0.410003574631658,0.307,0.578,7.83882231351467e-56
"CLSTN1",3.35758669470571e-60,-0.546966323343007,0.535,0.77,8.42922139705869e-56
"MT-ND4L",3.82569489740837e-60,-0.610632882016361,0.484,0.74,9.60440703994371e-56
"GHITM",3.90331027243592e-60,-0.441193095970392,0.135,0.345,9.79926043895038e-56
"SDC3",4.5012895918842e-60,-0.402302174630052,0.129,0.335,1.13004875204253e-55
"PPP3CB",6.09203586565175e-60,-0.471119166244121,0.35,0.612,1.52940560407187e-55
